date,timestamp,FR_open,FR_close,FR_high,FR_low,perp_exchange,perp_symbol
2023-12-10,1702166400,0.02081,0.014803,0.028014,0.012808,Binance,BTCUSDT
2023-12-11,1702252800,0.014803,0.01,0.015958,0.01,Binance,BTCUSDT
2023-12-12,1702339200,0.01,0.011968,0.020486,0.01,Binance,BTCUSDT
2023-12-13,1702425600,0.011968,0.01,0.017245,0.01,Binance,BTCUSDT
2023-12-14,1702512000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2023-12-15,1702598400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2023-12-16,1702684800,0.01,0.01,0.011047,0.01,Binance,BTCUSDT
2023-12-17,1702771200,0.01,0.013516,0.020511,0.01,Binance,BTCUSDT
2023-12-18,1702857600,0.013516,0.01,0.020478,0.01,Binance,BTCUSDT
2023-12-19,1702944000,0.01,0.010606,0.017925,0.01,Binance,BTCUSDT
2023-12-20,1703030400,0.010606,0.027143,0.030023,0.01,Binance,BTCUSDT
2023-12-21,1703116800,0.027143,0.030833,0.038637,0.027143,Binance,BTCUSDT
2023-12-22,1703203200,0.030833,0.016263,0.036638,0.01525,Binance,BTCUSDT
2023-12-23,1703289600,0.016263,0.01,0.018055,0.01,Binance,BTCUSDT
2023-12-24,1703376000,0.01,0.01,0.021568,0.01,Binance,BTCUSDT
2023-12-25,1703462400,0.01,0.043511,0.05643,0.01,Binance,BTCUSDT
2023-12-26,1703548800,0.043511,0.027727,0.048688,0.020861,Binance,BTCUSDT
2023-12-27,1703635200,0.027727,0.013059,0.046465,0.013059,Binance,BTCUSDT
2023-12-28,1703721600,0.013059,0.05517,0.059247,0.012857,Binance,BTCUSDT
2023-12-29,1703808000,0.05517,0.033033,0.057418,0.033033,Binance,BTCUSDT
2023-12-30,1703894400,0.033033,0.027941,0.044852,0.027941,Binance,BTCUSDT
2023-12-31,1703980800,0.027941,0.037499,0.041814,0.027835,Binance,BTCUSDT
2024-01-01,1704067200,0.037499,0.065743,0.065743,0.027213,Binance,BTCUSDT
2024-01-02,1704153600,0.065743,0.021201,0.091374,0.021201,Binance,BTCUSDT
2024-01-03,1704240000,0.021201,0.01,0.022841,0.01,Binance,BTCUSDT
2024-01-04,1704326400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-05,1704412800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-06,1704499200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-07,1704585600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-08,1704672000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-09,1704758400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-10,1704844800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-11,1704931200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-12,1705017600,0.01,0.01,0.019709,0.01,Binance,BTCUSDT
2024-01-13,1705104000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-14,1705190400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-15,1705276800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-16,1705363200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-17,1705449600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-18,1705536000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-19,1705622400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-20,1705708800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-21,1705795200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-22,1705881600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-23,1705968000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-24,1706054400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-25,1706140800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-01-26,1706227200,0.01,0.009012,0.01,0.008246,Binance,BTCUSDT
2024-01-27,1706313600,0.009012,0.01,0.01,0.007189,Binance,BTCUSDT
2024-01-28,1706400000,0.01,0.01,0.01,0.003989,Binance,BTCUSDT
2024-01-29,1706486400,0.01,0.01,0.01,0.008605,Binance,BTCUSDT
2024-01-30,1706572800,0.01,0.002157,0.01,0.001344,Binance,BTCUSDT
2024-01-31,1706659200,0.002157,0.01,0.01,0.002157,Binance,BTCUSDT
2024-02-01,1706745600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-02-02,1706832000,0.01,0.007593,0.01,0.00572,Binance,BTCUSDT
2024-02-03,1706918400,0.007593,0.008311,0.01,0.007135,Binance,BTCUSDT
2024-02-04,1707004800,0.008311,0.01,0.01,0.007176,Binance,BTCUSDT
2024-02-05,1707091200,0.01,0.01,0.01,0.0089,Binance,BTCUSDT
2024-02-06,1707177600,0.01,0.007582,0.01,0.005846,Binance,BTCUSDT
2024-02-07,1707264000,0.007582,0.01,0.01,0.004415,Binance,BTCUSDT
2024-02-08,1707350400,0.01,0.003161,0.01,0.001964,Binance,BTCUSDT
2024-02-09,1707436800,0.003161,0.008041,0.01,0.001106,Binance,BTCUSDT
2024-02-10,1707523200,0.008041,0.01,0.01,0.008041,Binance,BTCUSDT
2024-02-11,1707609600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-02-12,1707696000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-02-13,1707782400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-02-14,1707868800,0.01,0.01,0.014377,0.01,Binance,BTCUSDT
2024-02-15,1707955200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2024-02-16,1708041600,0.01,0.01,0.019927,0.01,Binance,BTCUSDT
2024-02-17,1708128000,0.01,0.017255,0.019099,0.01,Binance,BTCUSDT
2024-02-18,1708214400,0.017255,0.023083,0.023656,0.013821,Binance,BTCUSDT
2024-02-19,1708300800,0.023083,0.010392,0.024406,0.01021,Binance,BTCUSDT
2024-02-20,1708387200,0.010392,0.01,0.025327,0.01,Binance,BTCUSDT
2024-02-21,1708473600,0.01,0.01,0.012042,0.01,Binance,BTCUSDT
2024-02-22,1708560000,0.01,0.01,0.014689,0.01,Binance,BTCUSDT
2024-02-23,1708646400,0.01,0.01,0.01914,0.01,Binance,BTCUSDT
2024-02-24,1708732800,0.01,0.011384,0.011384,0.01,Binance,BTCUSDT
2024-02-25,1708819200,0.011384,0.026807,0.027685,0.01,Binance,BTCUSDT
2024-02-26,1708905600,0.026807,0.03234,0.038562,0.017184,Binance,BTCUSDT
2024-02-27,1708992000,0.03234,0.026756,0.101149,0.017755,Binance,BTCUSDT
2024-02-28,1709078400,0.026756,0.069385,0.098887,0.020633,Binance,BTCUSDT
2024-02-29,1709164800,0.069385,0.053443,0.091756,0.053435,Binance,BTCUSDT
2024-03-01,1709251200,0.053443,0.033552,0.073961,0.033552,Binance,BTCUSDT
2024-03-02,1709337600,0.033552,0.046267,0.073905,0.033215,Binance,BTCUSDT
2024-03-03,1709424000,0.046267,0.055056,0.056305,0.042227,Binance,BTCUSDT
2024-03-04,1709510400,0.055056,0.049057,0.076095,0.046745,Binance,BTCUSDT
2024-03-05,1709596800,0.049057,0.036663,0.101329,0.036663,Binance,BTCUSDT
2024-03-06,1709683200,0.036663,0.030368,0.058174,0.020323,Binance,BTCUSDT
2024-03-07,1709769600,0.030368,0.03494,0.055785,0.030126,Binance,BTCUSDT
2024-03-08,1709856000,0.03494,0.019134,0.063152,0.01906,Binance,BTCUSDT
2024-03-09,1709942400,0.019134,0.031097,0.034412,0.019115,Binance,BTCUSDT
2023-12-10,1702166400,0.016617,0.024124,0.026127,0.014986,Binance,ETHUSDT
2023-12-11,1702252800,0.024124,0.01,0.024128,0.01,Binance,ETHUSDT
2023-12-12,1702339200,0.01,0.012911,0.024589,0.01,Binance,ETHUSDT
2023-12-13,1702425600,0.012911,0.01,0.020022,0.01,Binance,ETHUSDT
2023-12-14,1702512000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2023-12-15,1702598400,0.01,0.01,0.011954,0.01,Binance,ETHUSDT
2023-12-16,1702684800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2023-12-17,1702771200,0.01,0.015192,0.020451,0.01,Binance,ETHUSDT
2023-12-18,1702857600,0.015192,0.01,0.015192,0.01,Binance,ETHUSDT
2023-12-19,1702944000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2023-12-20,1703030400,0.01,0.026163,0.035445,0.01,Binance,ETHUSDT
2023-12-21,1703116800,0.026163,0.044206,0.049035,0.025711,Binance,ETHUSDT
2023-12-22,1703203200,0.044206,0.018541,0.054909,0.017742,Binance,ETHUSDT
2023-12-23,1703289600,0.018541,0.013168,0.020324,0.01119,Binance,ETHUSDT
2023-12-24,1703376000,0.013168,0.013876,0.02499,0.013168,Binance,ETHUSDT
2023-12-25,1703462400,0.013876,0.050138,0.058781,0.013767,Binance,ETHUSDT
2023-12-26,1703548800,0.050138,0.03159,0.05077,0.026177,Binance,ETHUSDT
2023-12-27,1703635200,0.03159,0.027215,0.056171,0.027215,Binance,ETHUSDT
