date,timestamp,SP_open,SP_close,SP_high,SP_low,SP_vol,spot_exchange,spot_symbol
2022-03-09,1646784000,38730.63,41941.71,42594.06,38656.45,2797240840.9607,Binance,BTCUSDT
2022-03-10,1646870400,41941.7,39422.0,42039.63,38539.73,2854310740.8077,Binance,BTCUSDT
2022-03-11,1646956800,39422.01,38729.57,40236.26,38223.6,2305825015.6011,Binance,BTCUSDT
2022-03-12,1647043200,38729.57,38807.36,39486.71,38660.52,939663387.315,Binance,BTCUSDT
2022-03-13,1647129600,38807.35,37777.34,39310.0,37578.51,1268441605.1867,Binance,BTCUSDT
2022-03-14,1647216000,37777.35,39671.37,39947.12,37555.0,1821922588.4472,Binance,BTCUSDT
2022-03-15,1647302400,39671.37,39280.33,39887.61,38098.33,1796571984.4585,Binance,BTCUSDT
2022-03-16,1647388800,39280.33,41114.0,41718.0,38828.48,3552563766.3655,Binance,BTCUSDT
2022-03-17,1647475200,41114.01,40917.9,41478.82,40500.0,1521083189.7109,Binance,BTCUSDT
2022-03-18,1647561600,40917.89,41757.51,42325.02,40135.04,1862337033.4847,Binance,BTCUSDT
2022-03-19,1647648000,41757.51,42201.13,42400.0,41499.29,1216709156.4428,Binance,BTCUSDT
2022-03-20,1647734400,42201.13,41262.11,42296.26,40911.0,1273880705.2502,Binance,BTCUSDT
2022-03-21,1647820800,41262.11,41002.25,41544.22,40467.94,1618789548.0684,Binance,BTCUSDT
2022-03-22,1647907200,41002.26,42364.13,43361.0,40875.51,2525975507.8012,Binance,BTCUSDT
2022-03-23,1647993600,42364.13,42882.76,43025.96,41751.47,1725787170.5824,Binance,BTCUSDT
2022-03-24,1648080000,42882.76,43991.46,44220.89,42560.46,2436258223.6223,Binance,BTCUSDT
2022-03-25,1648166400,43991.46,44313.16,45094.14,43579.0,2421153187.6604,Binance,BTCUSDT
2022-03-26,1648252800,44313.16,44511.27,44792.99,44071.97,1022802857.6094,Binance,BTCUSDT
2022-03-27,1648339200,44511.27,46827.76,46999.0,44421.46,1907019662.3441,Binance,BTCUSDT
2022-03-28,1648425600,46827.76,47122.21,48189.84,46663.56,2789898402.6166,Binance,BTCUSDT
2022-03-29,1648512000,47122.21,47434.8,48096.47,46950.85,1748600385.4502,Binance,BTCUSDT
2022-03-30,1648598400,47434.79,47067.99,47700.22,46445.42,1932152559.8831,Binance,BTCUSDT
2022-03-31,1648684800,47067.99,45510.34,47600.0,45200.0,2262485160.5686,Binance,BTCUSDT
2022-04-01,1648771200,45510.35,46283.49,46720.09,44200.0,2556532890.8703,Binance,BTCUSDT
2022-04-02,1648857600,46283.49,45811.0,47213.0,45620.0,1721690754.4394,Binance,BTCUSDT
2022-04-03,1648944000,45810.99,46407.35,47444.11,45530.92,1550999693.0508,Binance,BTCUSDT
2022-04-04,1649030400,46407.36,46580.51,46890.71,45118.0,2053434523.8685,Binance,BTCUSDT
2022-04-05,1649116800,46580.5,45497.55,47200.0,45353.81,1951668192.9295,Binance,BTCUSDT
2022-04-06,1649203200,45497.54,43170.47,45507.14,43121.0,2700644700.8904,Binance,BTCUSDT
2022-04-07,1649289600,43170.47,43444.19,43900.99,42727.35,1623879486.66,Binance,BTCUSDT
2022-04-08,1649376000,43444.2,42252.01,43970.62,42107.14,1830699971.6113,Binance,BTCUSDT
2022-04-09,1649462400,42252.02,42753.97,42800.0,42125.48,759274586.6138,Binance,BTCUSDT
2022-04-10,1649548800,42753.96,42158.85,43410.3,41868.0,971459737.5009,Binance,BTCUSDT
2022-04-11,1649635200,42158.85,39530.45,42414.71,39200.0,2602039073.015,Binance,BTCUSDT
