date,timestamp,FR_open,FR_close,FR_high,FR_low,perp_exchange,perp_symbol
2022-09-16,1663286400,0.008052,0.002991,0.009644,0.002258,Binance,BTCUSDT
2022-09-17,1663372800,0.002991,0.00646,0.006617,-0.000126,Binance,BTCUSDT
2022-09-18,1663459200,0.00646,0.003581,0.01,0.002753,Binance,BTCUSDT
2022-09-19,1663545600,0.003581,0.007813,0.01,-0.011545,Binance,BTCUSDT
2022-09-20,1663632000,0.007813,0.005222,0.009394,-0.000212,Binance,BTCUSDT
2022-09-21,1663718400,0.005222,-0.011674,0.007128,-0.011674,Binance,BTCUSDT
2022-09-22,1663804800,-0.011674,0.007261,0.01,-0.014435,Binance,BTCUSDT
2022-09-23,1663891200,0.007261,0.002909,0.007381,-0.005628,Binance,BTCUSDT
2022-09-24,1663977600,0.002909,0.001037,0.006661,0.001037,Binance,BTCUSDT
2022-09-25,1664064000,0.001037,-0.000605,0.007052,-0.001591,Binance,BTCUSDT
2022-09-26,1664150400,-0.000605,0.002262,0.008547,-0.000607,Binance,BTCUSDT
2022-09-27,1664236800,0.002262,0.001134,0.01,-0.002895,Binance,BTCUSDT
2022-09-28,1664323200,0.001134,0.005607,0.009754,-0.001428,Binance,BTCUSDT
2022-09-29,1664409600,0.005607,0.01,0.01,0.005393,Binance,BTCUSDT
2022-09-30,1664496000,0.01,0.003259,0.01,0.003259,Binance,BTCUSDT
2022-10-01,1664582400,0.003259,0.00421,0.01,0.00083,Binance,BTCUSDT
2022-10-02,1664668800,0.00421,0.003941,0.00674,0.003519,Binance,BTCUSDT
2022-10-03,1664755200,0.003941,0.01,0.01,0.003941,Binance,BTCUSDT
2022-10-04,1664841600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2022-10-05,1664928000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2022-10-06,1665014400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2022-10-07,1665100800,0.01,0.003942,0.01,0.003893,Binance,BTCUSDT
2022-10-08,1665187200,0.003942,0.003272,0.008905,0.002507,Binance,BTCUSDT
2022-10-09,1665273600,0.003272,0.006244,0.006617,0.000869,Binance,BTCUSDT
2022-10-10,1665360000,0.006244,0.01,0.01,0.003277,Binance,BTCUSDT
2022-10-11,1665446400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2022-10-12,1665532800,0.01,0.00745,0.01,0.007192,Binance,BTCUSDT
2022-10-13,1665619200,0.00745,0.003255,0.01,0.003255,Binance,BTCUSDT
2022-10-14,1665705600,0.003255,0.004374,0.01,0.002293,Binance,BTCUSDT
2022-10-15,1665792000,0.004374,0.002746,0.007353,0.001172,Binance,BTCUSDT
2022-10-16,1665878400,0.002746,0.000331,0.004516,-0.000447,Binance,BTCUSDT
2022-10-17,1665964800,0.000331,0.01,0.01,-0.000123,Binance,BTCUSDT
2022-10-18,1666051200,0.01,0.007545,0.01,0.006536,Binance,BTCUSDT
2022-10-19,1666137600,0.007545,0.01,0.01,0.007545,Binance,BTCUSDT
2022-10-20,1666224000,0.01,0.004693,0.01,0.000813,Binance,BTCUSDT
2022-10-21,1666310400,0.004693,0.003762,0.006566,-0.001687,Binance,BTCUSDT
2022-10-22,1666396800,0.003762,0.004151,0.00947,-0.001435,Binance,BTCUSDT
2022-10-23,1666483200,0.004151,0.01,0.01,-0.002031,Binance,BTCUSDT
2022-10-24,1666569600,0.01,0.004359,0.01,0.000583,Binance,BTCUSDT
2022-10-25,1666656000,0.004359,0.002311,0.009696,-0.000723,Binance,BTCUSDT
2022-10-26,1666742400,0.002311,-4.8e-05,0.006199,-0.002721,Binance,BTCUSDT
2022-10-27,1666828800,-4.8e-05,-0.001228,0.008437,-0.00491,Binance,BTCUSDT
2022-10-28,1666915200,-0.001228,0.002457,0.005251,-0.004492,Binance,BTCUSDT
2022-10-29,1667001600,0.002457,-0.002497,0.007363,-0.002962,Binance,BTCUSDT
2022-10-30,1667088000,-0.002497,0.001601,0.008079,-0.002697,Binance,BTCUSDT
2022-10-31,1667174400,0.001601,0.000722,0.007437,-0.001342,Binance,BTCUSDT
2022-11-01,1667260800,0.000722,0.004765,0.005675,-0.003424,Binance,BTCUSDT
2022-11-02,1667347200,0.004765,0.002714,0.007671,0.00065,Binance,BTCUSDT
2022-11-03,1667433600,0.002714,0.004429,0.007899,-0.00053,Binance,BTCUSDT
2022-11-04,1667520000,0.004429,0.004409,0.007097,-0.003665,Binance,BTCUSDT
2022-11-05,1667606400,0.004409,0.006491,0.01,0.001787,Binance,BTCUSDT
2022-11-06,1667692800,0.006491,0.007812,0.01,0.005236,Binance,BTCUSDT
2022-11-07,1667779200,0.007812,0.006608,0.01,-0.001847,Binance,BTCUSDT
2022-11-08,1667865600,0.006608,0.006608,0.006608,0.006608,Binance,BTCUSDT
2022-11-09,1667952000,-0.012182,-0.119172,0.00929,-0.120652,Binance,BTCUSDT
2022-11-10,1668038400,-0.119172,-0.019452,-0.019452,-0.142765,Binance,BTCUSDT
2022-11-11,1668124800,-0.019452,0.00528,0.005493,-0.019809,Binance,BTCUSDT
2022-11-12,1668211200,0.00528,0.000344,0.01,-0.005366,Binance,BTCUSDT
2022-11-13,1668297600,0.000344,-0.003668,0.005148,-0.011417,Binance,BTCUSDT
2022-11-14,1668384000,-0.003668,-0.010832,0.005119,-0.013897,Binance,BTCUSDT
2022-11-15,1668470400,-0.010832,-0.013216,0.003379,-0.023631,Binance,BTCUSDT
2022-11-16,1668556800,-0.013216,-0.004534,0.004361,-0.01434,Binance,BTCUSDT
2022-11-17,1668643200,-0.004534,-0.002838,-0.00182,-0.009688,Binance,BTCUSDT
2022-11-18,1668729600,-0.002838,0.005595,0.009362,-0.004533,Binance,BTCUSDT
2022-11-19,1668816000,0.005595,-0.000769,0.00997,-0.003534,Binance,BTCUSDT
2022-11-20,1668902400,-0.000769,0.00787,0.00787,-0.005409,Binance,BTCUSDT
2022-11-21,1668988800,0.00787,-0.007497,0.009216,-0.007517,Binance,BTCUSDT
2022-11-22,1669075200,-0.007497,0.00939,0.01,-0.007498,Binance,BTCUSDT
2022-11-23,1669161600,0.00939,0.005398,0.01,-0.000749,Binance,BTCUSDT
2022-11-24,1669248000,0.005398,0.002056,0.007163,-0.000792,Binance,BTCUSDT
2022-11-25,1669334400,0.000757,0.00381,0.006012,-0.003402,Binance,BTCUSDT
2022-11-26,1669420800,0.00381,0.001088,0.005672,-0.00348,Binance,BTCUSDT
2022-11-27,1669507200,0.001088,0.002267,0.00525,-0.003913,Binance,BTCUSDT
2022-11-28,1669593600,0.002267,0.00476,0.007735,-0.003895,Binance,BTCUSDT
2022-11-29,1669680000,0.00476,0.003404,0.009271,-0.002932,Binance,BTCUSDT
2022-11-30,1669766400,0.003404,0.001102,0.009523,0.001077,Binance,BTCUSDT
2022-12-01,1669852800,0.001102,0.0082,0.01,-0.00835,Binance,BTCUSDT
2022-12-02,1669939200,0.0082,0.0033,0.008203,-0.005148,Binance,BTCUSDT
2022-12-03,1670025600,0.0033,0.006159,0.01,0.002338,Binance,BTCUSDT
2022-12-04,1670112000,0.006159,5e-05,0.007601,-0.000507,Binance,BTCUSDT
2022-12-05,1670198400,5e-05,0.002206,0.005544,-0.004894,Binance,BTCUSDT
2022-12-06,1670284800,0.002206,0.007913,0.00795,-0.002661,Binance,BTCUSDT
2022-12-07,1670371200,0.007913,0.001206,0.008107,-0.002348,Binance,BTCUSDT
2022-12-08,1670457600,0.001206,0.001211,0.002466,-0.003193,Binance,BTCUSDT
2022-12-09,1670544000,0.001211,-0.001696,0.009265,-0.002998,Binance,BTCUSDT
2022-12-10,1670630400,-0.001696,0.000929,0.002797,-0.002521,Binance,BTCUSDT
2022-12-11,1670716800,0.000929,0.002407,0.003776,-0.001724,Binance,BTCUSDT
2022-12-12,1670803200,0.002407,0.00306,0.004275,-0.002036,Binance,BTCUSDT
2022-12-13,1670889600,0.00306,0.01,0.01,0.000618,Binance,BTCUSDT
2022-12-14,1670976000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2022-12-15,1671062400,0.01,0.004814,0.01,0.004453,Binance,BTCUSDT
2022-09-16,1663286400,0.010701,0.007958,0.014069,0.002905,Bitfinex,tBTCF0:USTF0
2022-09-17,1663372800,0.007958,0.015597,0.015597,0.003787,Bitfinex,tBTCF0:USTF0
2022-09-18,1663459200,0.015597,0.009229,0.015597,0.009215,Bitfinex,tBTCF0:USTF0
2022-09-19,1663545600,0.009229,0.028142,0.028142,0.003279,Bitfinex,tBTCF0:USTF0
2022-09-20,1663632000,0.028142,0.006193,0.028142,0.0,Bitfinex,tBTCF0:USTF0
2022-09-21,1663718400,0.006193,0.008749,0.038941,0.006193,Bitfinex,tBTCF0:USTF0
2022-09-22,1663804800,0.008749,0.0,0.034729,0.0,Bitfinex,tBTCF0:USTF0
2022-09-23,1663891200,0.0,0.0,0.009453,0.0,Bitfinex,tBTCF0:USTF0
2022-09-24,1663977600,0.0,0.000249,0.003659,0.0,Bitfinex,tBTCF0:USTF0
2022-09-25,1664064000,0.000249,0.013157,0.013157,0.0,Bitfinex,tBTCF0:USTF0
2022-09-26,1664150400,0.013157,0.007678,0.01453,0.006527,Bitfinex,tBTCF0:USTF0
2022-09-27,1664236800,0.007678,0.0,0.021244,0.0,Bitfinex,tBTCF0:USTF0
2022-09-28,1664323200,0.0,0.001288,0.001288,0.0,Bitfinex,tBTCF0:USTF0
2022-09-29,1664409600,0.001288,0.00181,0.008386,0.0,Bitfinex,tBTCF0:USTF0
2022-09-30,1664496000,0.00181,0.0,0.010978,0.0,Bitfinex,tBTCF0:USTF0
2022-10-01,1664582400,0.0,0.0,0.0,0.0,Bitfinex,tBTCF0:USTF0
2022-10-02,1664668800,0.0,0.0,0.0,0.0,Bitfinex,tBTCF0:USTF0
2022-10-03,1664755200,0.0,0.0,0.0,0.0,Bitfinex,tBTCF0:USTF0
2022-10-04,1664841600,0.0,0.005708,0.005708,0.0,Bitfinex,tBTCF0:USTF0
2022-10-05,1664928000,0.005708,0.0,0.005708,0.0,Bitfinex,tBTCF0:USTF0
2022-10-06,1665014400,0.0,0.003426,0.003426,0.0,Bitfinex,tBTCF0:USTF0
2022-10-07,1665100800,0.003426,0.0,0.004872,0.0,Bitfinex,tBTCF0:USTF0
2022-10-08,1665187200,0.0,0.007711,0.007711,0.0,Bitfinex,tBTCF0:USTF0
2022-10-09,1665273600,0.007711,0.004519,0.007711,0.0,Bitfinex,tBTCF0:USTF0
2022-10-10,1665360000,0.004519,0.0,0.004519,0.0,Bitfinex,tBTCF0:USTF0
2022-10-11,1665446400,0.0,0.009832,0.009832,0.0,Bitfinex,tBTCF0:USTF0
2022-10-12,1665532800,0.009832,0.0,0.009832,0.0,Bitfinex,tBTCF0:USTF0
